,Unique,Counts
687,oil,9671
929,salt,8553
1056,sugar,6587
432,garlic,6063
132,butter,5809
693,onion,5654
767,pepper,5609
570,lemon,4274
1176,water,4058
363,egg,4040
411,flour,3450
311,cream,3040
213,chicken,2904
1114,tomato,2794
1199,wine,2743
204,cheese,2618
727,parsley,2492
639,milk,2162
1145,vanilla,1970
440,ginger,1838
578,lime,1622
1103,thyme,1612
694,orange,1609
1165,vinegar,1601
960,shallot,1541
250,cilantro,1508
834,potato,1465
172,carrot,1425
251,cinnamon,1411
881,rice,1295
665,mustard,1284
79,bell pepper,1274
324,cumin,1150
66,basil,1028
643,mint,1027
835,powder,1010
69,bay leaf,941
1013,soy sauce,914
510,honey,906
897,rosemary,884
663,mushroom,878
188,celery,831
236,chocolate,811
941,scallion,808
627,mayonnaise,722
280,coriander,716
703,oregano,707
32,apple,674
11,almond,671
234,chive,657
1210,yogurt,655
827,pork,654
682,nutmeg,647
384,fennel,645
75,beef,615
521,jalapeno,614
54,bacon,599
257,clove,598
299,cornstarch,596
998,soda,584
978,shrimp,558
263,coconut,556
725,paprika,547
516,ice,521
323,cucumber,518
71,bean,509
1088,tarragon,508
1171,walnut,496
308,cranberry,448
223,chili,441
866,raisin,428
568,leek,425
1139,turkey,417
937,sauce,405
341,dill,396
298,cornmeal,395
1217,zucchini,394
1045,strawberry,393
9,allspice,383
558,lamb,383
872,raspberry,381
758,pecan,376
160,caper,372
904,rum,372
726,parmesan,364
46,arugula,360
52,avocado,355
1023,spinach,336
691,olive,336
105,bread,333
582,liqueur,330
798,pineapple,330
797,pine nut,323
120,broth,320
914,sage,313
1123,tortilla,312
38,apricot,303
110,breadcrumb,301
331,curry powder,294
958,sesame seed,293
607,maple syrup,292
741,pea,289
187,cayenne,286
217,chile,284
205,cherry,284
864,radish,273
103,brandy,272
314,creme,271
22,anchovy,271
369,eggplant,268
1211,yolk,266
1140,turmeric,262
968,sherry,262
565,leaf,260
138,cabbage,257
752,pear,247
262,cocoa powder,245
291,corn syrup,244
901,round,242
282,corn,237
106,bread crumb,237
400,fish sauce,236
433,garnish,233
714,pan,233
939,sausage,233
602,mango,226
439,gin,225
1157,vegetable,224
512,horseradish,221
1179,watercres,218
136,butternut squash,216
500,hazelnut,212
168,cardamom,208
119,broccoli,204
192,celery rib,200
288,corn kernel,199
1207,yeast,198
801,pistachio,197
924,salmon fillet,196
56,baguette,196
434,gelatin,194
59,banana,193
913,saffron,190
92,blueberry,188
649,molass,185
683,oat,181
668,mustard seed,180
50,asparagu,178
77,beet,177
953,serrano chile,176
744,peach,175
256,clam,174
840,prosciutto,173
1158,vegetable shortening,173
533,kalamata olife,172
611,marjoram,170
728,parsnip,169
943,scallop,168
88,blackberry,166
203,cheddar,166
1024,spinach leaf,165
326,currant,164
749,peanut,163
13,almond extract,162
491,ham,158
1038,star anise,158
1162,vermouth,152
915,sage leaf,149
340,date,148
517,ice cream,142
572,lemongras,142
465,grapefruit,142
468,green,141
101,bourbon,137
842,prune,134
732,pasta,133
541,ketchup,132
532,kalamata,131
35,apple cider,130
664,mussel,130
652,monterey jack,127
922,salmon,123
945,seasoning,122
878,rib,120
1167,vodka,119
1040,steak,119
389,fig,116
180,cauliflower,115
372,endive,115
1141,turnip,114
717,pancetta,114
1089,tartar,113
199,champagne,113
1066,tabasco,113
845,puff pastry,113
302,couscou,112
852,pumpkin seed,112
269,cognac,112
750,peanut butter,111
252,cinnamon stick,110
1110,tofu,109
258,club soda,109
230,chipotle chile,107
933,sandwich bread,107
862,radicchio,106
44,artichoke,105
573,lentil,105
306,crabmeat,104
580,linguine,104
438,giblet,103
1015,spaghetti,102
1022,spice,102
891,romaine,101
1112,tomatillo,100
759,pecorino,98
193,celery root,98
214,chickpea,96
462,grape,96
393,fillet,95
574,lettuce,95
267,coffee,94
376,espresso powder,93
528,juice,93
164,caraway seed,93
814,plum,93
738,pastry,91
45,artichoke heart,88
544,kidney bean,88
884,ricotta,88
26,angostura,88
173,cashew,87
226,chily,85
849,pumpkin,85
575,lettuce leaf,85
242,chuck,85
522,jalapeno chily,84
621,mascarpone,84
1180,watermelon,84
1100,tequila,83
508,hoisin sauce,82
76,beer,81
877,rhubarb,81
430,garbanzo bean,79
672,napa cabbage,78
229,chipotle,78
942,scallion green,78
322,crust,77
210,chestnut,77
739,pastry dough,77
907,russet,75
496,haricots vert,74
382,fat,74
577,lima bean,73
459,grain mustard,73
1146,veal,72
996,snow pea,72
676,noodle,71
218,chile de arbol,71
674,nectarine,70
95,bok choy,70
527,jicama,70
417,fontina,69
589,lobster,69
892,romaine lettuce,69
984,simple syrup,68
403,flank steak,67
787,pie crust,67
67,bass fillet,66
169,cardamom pod,66
804,pita bread,64
989,skirt steak,64
191,celery leaf,64
385,fettuccine,63
330,curry paste,63
307,cracker,63
948,seed,63
903,ruby port,62
158,cantaloupe,62
824,pomegranate seed,62
722,papaya,62
121,brussels sprout,61
490,halibut fillet,61
927,salsa,61
1093,tawny port,60
666,mustard green,59
365,egg noodle,59
99,bosc pear,59
1010,sourdough bread,59
194,celery seed,59
470,grenadine,58
860,quinoa,58
1164,vinaigrette,57
41,apricot preserve,57
419,frisee,55
908,rutabaga,54
608,margarine,54
51,asparagus spear,54
614,marsala,53
595,macadamia nut,52
818,poblano chile,52
374,escarole,52
62,barbecue sauce,52
711,oyster sauce,52
447,glaze,52
584,littleneck clam,52
699,orange marmalade,52
423,fruit,51
810,pizza dough,51
822,pomegranate,51
1083,tangerine,51
511,honeydew melon,51
1034,squash,50
220,chile powder,50
873,raspberry jam,50
963,shell,49
1193,whiskey,48
408,fleur de sel,48
1094,tea,48
1073,tahini,48
534,kale,48
1137,tuna steak,47
152,candy,47
704,oregano leaf,47
553,kumquat,47
1128,triple sec,47
823,pomegranate molass,46
457,graham cracker crumb,46
399,fish fillet,46
495,hamburger bun,46
647,mission fig,45
327,currant jelly,45
1033,sprout,44
1065,syrup,44
826,poppy seed,44
995,snapper fillet,43
529,juniper berry,43
769,pesto,43
10,allspice berry,43
39,apricot jam,43
209,chervil,43
144,cake,43
762,penne,43
696,orange bitter,42
489,halibut,40
456,graham cracker,40
779,pickle,40
1018,spanish chorizo,40
349,dressing,40
890,roll,39
817,poblano,39
952,serrano,39
645,miso,38
245,chutney,38
545,kielbasa,38
603,mango chutney,38
354,duck breast,38
566,leaf lettuce,38
820,polenta,37
421,frond,37
644,mirin,37
80,berry,37
126,bulgur,36
15,almond paste,36
754,pearl barley,36
429,garam masala,35
273,collard green,35
763,penne pasta,35
206,cherry brandy,35
5,agave nectar,35
1172,walnut piece,35
81,bibb lettuce,34
283,corn bread,34
1050,stuffing,34
775,phyllo pastry,34
115,brioche,34
624,matzo meal,34
486,habanero chile,34
1095,tea bag,34
710,oyster,34
274,coloring,33
518,iceberg lettuce,33
28,anise seed,33
838,preserve,33
809,pizza crust,33
135,butter lettuce,32
1061,sunflower seed,32
588,loaf,32
882,rice noodle,32
885,ricotta salata,32
1169,wafer cooky,32
265,cod fillet,32
305,crab meat,32
17,amaretti,32
503,hen,32
919,salad green,32
318,crookneck squash,32
916,sake,31
18,amaretto,31
990,slab bacon,31
1186,wheat bread,31
859,quince,31
1138,turbinado,31
796,pimenton,30
636,mesclun,30
200,chanterelle,30
509,hominy,30
819,poblano chily,30
695,orange bell pepper,30
771,petite pea,30
702,orecchiette,30
596,macaroni,30
476,guajillo chile,30
155,cannellini bean,29
149,calvado,29
886,rigatoni,29
70,bay scallop,29
364,egg bread,29
776,phyllo sheet,29
615,marshmallow,28
610,marinara sauce,28
994,snapper,28
940,savoy cabbage,28
1129,trout,28
353,duck,28
37,applesauce,28
33,apple brandy,27
813,plantain,27
661,mung bean sprout,27
667,mustard powder,27
185,caviar,27
961,shank,27
472,grit,27
1182,wheat,27
561,lasagna noodle,27
880,rib roast,27
98,bonito flake,27
1037,sriracha,27
688,okra,26
556,lager,26
597,mace,26
409,flounder,26
375,espresso,26
181,cauliflower floret,26
806,pita loaf,26
1014,soybean paste,26
910,rye bread,26
82,bing cherry,26
1204,wonton wrapper,25
1064,swordfish steak,25
1099,tentacle,25
268,coffee bean,25
427,fusilli,25
944,scotch,25
856,queso fresco,25
548,kiwi,25
985,sirloin,25
1121,topping,25
623,matzo,25
492,ham hock,24
24,andouille sausage,24
64,barley,24
619,masa harina,24
1134,tuna,24
1046,strawberry jam,24
4,adobo sauce,24
955,serrano ham,24
632,melon,23
246,ciabatta,23
343,dill seed,23
1143,twist,23
1174,wasabi paste,23
446,gingersnap,23
1036,squid,23
731,passion fruit,23
1131,truffle,23
1059,summer squash,22
441,ginger ale,22
297,cornichon,22
889,roast,22
383,fava bean,22
547,kirsch,22
352,drumstick,22
947,seaweed,22
458,grain bread,22
559,lard,22
329,curry leaf,21
222,chile sauce,21
1177,water chestnut,21
345,dillweed,20
504,herb,20
917,salad,20
1002,sorbet,20
231,chipotle chile powder,20
404,flatbread,20
1085,tapioca,20
397,fish,20
938,sauerkraut,20
414,focaccia,20
170,cardamom seed,20
378,extract,20
1181,wax bean,20
3,acorn squash,20
956,sesame,20
848,pumpernickel bread,19
936,sardine,19
176,cassi,19
828,port,19
43,arrowroot,19
87,bitter,19
36,apple jelly,19
1044,stout,19
342,dill pickle,19
178,catfish fillet,19
1154,veal shank,19
680,nut,19
271,coleslaw,18
402,flaked,18
1008,sourdough,18
926,salmon steak,18
1120,top sirloin steak,18
1106,toast,18
735,pasta shell,18
635,merlot,18
493,ham steak,18
555,ladyfinger,18
1153,veal scallop,18
208,cherry preserve,18
1130,trout fillet,18
853,quail,17
874,raspberry preserve,17
542,key,17
1058,sumac,17
535,kale leaf,17
278,cookie,17
475,guajillo,17
338,dashi,17
928,salsa verde,17
1078,tamarind,17
954,serrano chily,17
921,salami,17
355,duck fat,17
646,miso paste,17
228,chip,17
320,crouton,17
118,brisket,17
1098,tenderloin roast,17
705,orzo,17
1195,whitefish,17
893,romaine lettuce leaf,17
851,pumpkin pie spice,16
407,flaxseed,16
1113,tomatillo salsa,16
539,kelp,16
802,pistachio nut,16
774,phyllo dough,16
1175,wasabi powder,16
765,peperoncini,16
986,sirloin steak,16
1090,tartar sauce,16
163,caramel sauce,16
304,crab leg,16
84,biscuit,16
543,kidney,16
392,filet mignon,16
965,shell pasta,15
896,rose water,15
58,bamboo shoot,15
598,mackerel,15
951,semolina,15
970,shiitake,15
629,meat,15
846,puff pastry sheet,15
261,cocoa,15
1000,sole fillet,15
238,chorizo sausage,15
530,kabocha squash,15
1017,spaghettini,15
279,cookie crumb,15
1105,tilapia fillet,15
957,sesame paste,14
628,meal,14
546,kimchi,14
753,pear nectar,14
277,confit duck leg,14
591,lobster tail,14
361,edamame,14
743,pea shoot,14
249,cider,14
212,chia seed,14
1188,wheat germ,14
656,muffin,14
303,crab,14
1071,tagliatelle,14
974,shortbread cooky,13
748,peach schnapp,13
911,rye whiskey,13
371,enchilada sauce,13
7,ale,13
1009,sourdough baguette,13
773,phyllo,13
1096,tea leaf,13
479,guava,13
1079,tamarind concentrate,13
1192,wheel,13
780,pickle relish,13
497,harissa,13
925,salmon roe,13
1063,swordfish,13
381,farro,13
600,mahimahi,13
333,cutlet,13
474,guacamole,13
215,chicory,13
1194,whisky,13
391,filet,13
1201,winter squash,13
40,apricot nectar,13
348,dough,13
295,cornflake,12
219,chile paste,12
65,bas,12
1080,tamarind paste,12
55,bacon fat,12
847,pumpernickel,12
803,pita,12
997,soba noodle,12
359,dumpling,12
579,linguica,12
654,morel,12
1049,strip steak,12
764,penne rigate,12
1150,veal cutlet,12
373,epazote,12
128,bun,12
396,fingerling,12
196,cereal,12
1108,toffee,12
975,shortening,12
1019,sparerib,12
312,crema,12
723,pappardelle,12
248,ciabatta roll,12
428,galangal,12
1047,strawberry preserve,12
72,bean paste,11
788,pie dough,11
498,harissa paste,11
358,dulce de leche,11
729,pasilla chile,11
805,pita bread round,11
677,nori,11
1202,won ton wrapper,11
413,floweret,11
281,corkscrew pasta,11
950,seltzer water,11
531,kaiser roll,11
981,shucked oyster,11
606,maple extract,11
865,radish sprout,11
1043,stew meat,11
979,shrimp paste,11
747,peach preserve,11
799,pineapple chunk,11
932,sandwich,11
337,dandelion green,10
883,rice stick noodle,10
151,campanelle,10
934,sandwich roll,10
1184,wheat berry,10
145,cake mix,10
452,goose,10
709,oxtail,10
227,chimichurri,10
1159,venison,10
730,passion,10
1084,tapenade,10
232,chipotle in adobo,10
485,habanero,10
487,haddock,10
12,almond butter,10
319,crostini,10
697,orange blossom honey,10
287,corn husk,10
902,rub,10
1117,top loin,10
829,porter,10
1051,stuffing mix,10
784,pickling cucumber,10
1119,top sirloin,10
190,celery heart,9
949,seltzer,9
1077,tamari soy sauce,9
42,aquavit,9
946,seasoning mix,9
785,pickling spice,9
1161,vermicelli noodle,9
783,pickling,9
61,banana leaf,9
412,flower,9
202,chayote,9
405,flavoring,9
760,pectin,9
444,ginger root,9
931,sambuca,9
104,bratwurst,9
301,cotija,9
1006,soup,9
557,lager beer,9
973,shiso leaf,9
254,citru,9
590,lobster meat,9
999,soda water,9
675,nigella seed,9
816,plum sauce,9
513,horseradish root,9
131,burrata,9
899,rotelle,9
918,salad dressing,9
863,radicchio leaf,9
460,grana padano,9
1107,toast point,9
701,orange segment,9
237,chorizo,9
746,peach nectar,8
125,buffalo,8
613,marrow bone,8
1214,za'atar,8
57,balsamic vinaigrette,8
450,gochugaru,8
875,relish,8
410,flounder fillet,8
601,mandarin orange,8
1215,zest,8
761,peel,8
1155,veal shoulder,8
1116,tonic water,8
272,collard,8
259,cockle,8
770,pesto sauce,8
1160,vermicelli,8
157,canola,8
16,amaranth,8
634,meringue,8
315,crepe,8
698,orange flower water,8
1039,star fruit,8
224,chilli,8
464,grape leaf,8
794,piloncillo,8
83,biscotti,8
466,grappa,8
1142,turnip green,8
789,pie filling,8
720,panko,8
100,bouquet garni,8
159,capellini,8
139,cabbage leaf,8
78,beet green,8
831,portobello,8
1205,xanthan gum,8
29,annatto,8
839,pretzel,8
1148,veal breast,8
243,chuck roast,8
1102,teriyaki sauce,8
442,ginger beer,8
786,pico de gallo,7
276,confit,7
876,reposado,7
310,crawfish,7
270,cola,7
895,rose petal,7
825,ponzu,7
733,pasta sauce,7
525,jelly,7
721,panko breadcrumb,7
162,caramel,7
692,olive tapenade,7
515,hummu,7
435,gemelli,7
1166,violet,7
651,monkfish fillet,7
983,silver tequila,7
124,buckwheat noodle,7
684,oat bran,7
768,perciatelli,7
514,hot dog,7
594,lychee,7
1070,taco shell,7
102,bourbon whiskey,7
1147,veal bone,7
583,liquor,7
134,butter cooky,7
1057,sultana,7
751,peanut sauce,7
506,hibiscus flower,6
843,pudding,6
964,shell clam,6
648,mix,6
660,mung bean,6
313,crema mexicana,6
830,porterhouse steak,6
1209,yoghurt,6
502,hemp seed,6
380,farina,6
641,millet,6
638,microgreen,6
971,shiro miso,6
524,jasmine,6
1021,spelt,6
154,canela,6
982,silver,6
540,kernel corn,6
150,camembert,6
1005,sorrel,6
1004,sorghum syrup,6
585,liver,6
567,leafy green,6
894,root vegetable,6
2,acini di pepe,6
1097,tempeh,6
133,butter bean,6
445,ginger syrup,6
334,daikon,6
455,gouda,6
461,granola,6
713,palm,6
715,pancake,6
791,pie shell,6
685,oatmeal,6
1048,string bean,6
1041,steak sauce,6
1076,tamari,6
478,guanciale,6
1055,suet,6
993,snap,5
201,char fillet,5
576,licorice,5
107,bread dough,5
437,gherkin,5
362,edamame bean,5
286,corn grit,5
861,rabbit,5
14,almond meal,5
868,ramen noodle,5
1152,veal rib chop,5
425,fry,5
869,ramp,5
420,fromage blanc,5
1189,wheat penne,5
976,shoulder roast,5
550,kiwifruit,5
554,lacinato kale,5
562,lavender,5
253,citron,5
321,crumb,5
523,jam,5
346,ditalini,5
317,croissant,5
662,munster,5
658,mulato chile,5
179,catsup,5
811,pizza sauce,5
650,monkfish,5
1016,spaghetti squash,5
90,blackberry jam,5
1125,tostada shell,5
244,chuck steak,5
183,cavatappi,5
690,olivada,5
114,brioch,5
1149,veal chop,5
900,rotini,4
991,slaw,4
1067,taco sauce,4
1115,tongue,4
1212,yuca,4
1122,tortellini,4
1025,spirit,4
1030,spring roll wrapper,4
992,snail,4
1091,tasso,4
923,salmon caviar,4
1173,wasabi,4
1187,wheat breadcrumb,4
912,safflower,4
1081,tamarind pulp,4
1135,tuna fillet,4
1136,tuna in water,4
1206,yam,4
980,shrimp shell,4
1183,wheat baguette,4
966,shell steak,4
609,marinade,4
888,risotto,4
112,brie,4
216,chiffonade,4
198,chamomile tea,4
195,celery stick,4
177,catfish,4
174,cashew nut,4
659,multigrain bread,4
167,carcass,4
153,candy bar,4
147,calamari,4
689,okra pod,4
700,orange rind,4
708,ouzo,4
716,pancake mix,4
719,panettone,4
745,peach jam,4
225,chilly,4
616,marzipan,4
612,marrow,4
284,corn chip,4
887,ripe olife,4
467,gravy,4
471,grenadine syrup,4
367,egg roll wrapper,4
484,gyoza wrapper,4
494,hamburger,4
275,condiment,4
1,achiote paste,4
571,lemon gras,4
592,loin,4
599,mahi mahi,4
235,chive blossom,4
233,chipotle sauce,4
605,manzanilla,4
756,pearl tapioca,4
448,gnocchi,4
34,apple butter,4
97,bonito,4
94,bluefish,4
8,alfalfa sprout,4
807,pita pocket,4
867,raita,4
108,bread roll,3
604,manicotti,3
113,brine,3
844,puff,3
31,annatto seed,3
1203,wonton skin,3
19,amino,3
488,haddock fillet,3
48,asafetida,3
1196,whitefish fillet,3
622,matcha,3
481,guinea hen,3
370,empanada,3
60,banana chip,3
906,rump roast,3
587,lo mein noodle,3
905,rum extract,3
285,corn flake,3
328,curry,3
309,cranberry bean,3
537,kasseri,3
344,dill weed,3
1087,tapioca starch,3
551,knockwurst,3
1208,yellowfin,3
815,plum jam,3
855,queso blanco,3
563,lavender blossom,3
264,cod,3
357,duckling,3
25,angelica,3
360,dumpling wrapper,3
1075,tamale,3
637,mezcal,3
1213,yuzu,3
781,pickled radish,3
146,cake yeast,3
469,gremolata,3
1156,vegan butter,3
143,cactu,3
398,fish bone,3
1216,ziti,3
453,goose fat,3
1035,squash blossom,3
736,pasta water,3
737,pastrami,3
1168,wafer,3
742,pea pod,3
778,picholine olife,3
755,pearl couscou,3
1185,wheat bran,3
1011,sourdough roll,3
1151,veal loin chop,3
182,cava,3
473,grouper,3
395,fines herbe,3
73,bean sauce,3
1144,urad dal,3
657,muffin mix,3
1190,wheat pita,3
673,napa cabbage leaf,3
969,shichimi togarashi,3
436,ghee,2
422,frosting,2
379,farfallini,2
347,ditalini pasta,2
386,fettuccine pasta,2
1052,sturgeon fillet,2
1082,tangelo,2
388,fideo,2
368,eggnog,2
23,and mix,2
390,fig jam,2
1074,tahini paste,2
1092,tatsoi,2
27,anise,2
335,daikon sprout,2
184,cavatelli,2
116,brioche bread,2
117,brioche bun,2
122,bucatini,2
127,bulgur wheat,2
129,burdock,2
1178,water spinach,2
140,cacao,2
91,blade steak,2
86,biscuit mix,2
74,bee pollen,2
156,cannoli shell,2
161,capon,2
166,carcas,2
63,barberry,2
443,ginger piece,2
296,cornflake crumb,2
189,celery cabbage,2
197,chaat masala,2
1133,tumeric,2
1132,tubetti,2
207,cherry pie filling,2
1124,tostada,2
47,asadero,2
241,chrysanthemum,2
1118,top round steak,2
255,citrus vinaigrette,2
260,cocktail sauce,2
289,corn meal,2
292,cornbread,2
1101,teriyaki marinade,2
186,cavolo nero,2
416,fondant,2
977,shoyu,2
520,jaggery,2
1020,speck,2
499,hash brown,2
617,masa,2
808,pita round,2
505,hibiscu,2
507,hoagie roll,2
519,icing,2
920,salad leaf,2
800,pineapple ring,2
724,pappardelle pasta,2
833,pot roast,2
526,jerk seasoning,2
793,pigeon pea,2
536,kasha,2
792,piecrust,2
586,liverwurst,2
538,kecap mani,2
564,lavender honey,2
1003,sorghum,2
552,kochujang,2
1027,sponge cake,2
483,gyoza,2
463,grape jelly,2
1032,sprinkle,2
962,shark fillet,2
451,goji berry,2
1042,stevia,2
871,ras el hanout,2
655,mortadella,2
870,ranch dressing,2
678,nori sheet,2
679,nuoc cham,2
642,mincemeat,2
640,miller's bran,2
972,shiso,2
477,guajillo chile powder,2
766,pepita,2
1031,spring water,2
630,meatball,2
626,mayonaise,2
718,paneer,1
712,paccheri,1
959,sevruga caviar,1
707,osetra caviar,1
757,peas and carrot,1
142,caciocavallo,1
1170,wakame,1
935,sansho,1
740,pastry shell,1
141,cacao powder,1
772,pheasant,1
148,callaloo,1
734,pasta sheet,1
671,nam pla,1
137,buttery spread,1
123,buckwheat honey,1
681,nut butter,1
130,burger bun,1
686,octopus,1
1163,vin santo,1
706,orzo pasta,1
89,blackberry brandy,1
111,bresaola,1
109,bread yeast,1
1200,wing sauce,1
836,praline paste,1
837,prawn,1
841,proscuitto,1
909,rye,1
30,annatto powder,1
850,pumpkin butter,1
854,queso anejo,1
857,queso manchego,1
858,queso ranchero,1
21,ancho powder,1
20,ancho,1
898,rosewater,1
6,ajwain,1
879,rib eye steak,1
1198,wildflower honey,1
1197,whiting,1
832,posole,1
670,naan,1
930,sambal olek,1
777,picante sauce,1
782,pickled vegetable,1
96,bone in,1
790,pie pumpkin,1
93,blueberry jam,1
795,pimento,1
49,asafoetida powder,1
85,biscuit dough,1
68,batter,1
1191,wheat starch,1
812,pizza shell,1
821,pollock,1
53,avocado leaf,1
165,carbonated water,1
449,goat,1
669,mutton,1
356,duck liver,1
377,essence,1
1028,spring green,1
1026,sponge,1
482,gumdrop,1
366,egg pasta,1
501,hemp,1
351,drummette,1
1029,spring roll,1
350,dripping,1
1086,tapioca pearl,1
339,dashi powder,1
336,dandelion,1
1012,soy,1
332,custard powder,1
1072,taglierini,1
480,guava paste,1
171,carne seca,1
415,foie gras medallion,1
426,furikake,1
424,fruit cocktail,1
1053,sub roll,1
1054,suckling pig,1
418,foot,1
454,gooseberry,1
406,flax,1
1069,taco seasoning mix,1
401,five spice,1
1060,sunchoke,1
1062,sweetener,1
394,filo dough,1
387,fettucine,1
1068,taco seasoning,1
325,cupcake,1
316,crescent roll,1
300,cotechino,1
211,chevre,1
987,sirloin tip,1
618,masa dough,1
1126,tree ear,1
1127,tripe,1
221,chile puree,1
620,masala,1
625,matzoh farfel,1
1007,soup mix,1
431,garland chrysanthemum,1
631,meatloaf,1
633,merguez sausage,1
967,shellfish,1
653,moong dal,1
175,casing,1
988,skate,1
239,chow mein noodle,1
240,choy sum,1
593,lovage,1
247,ciabatta loaf,1
581,linguini,1
569,legume,1
266,codfish,1
560,lardon,1
1111,togarashi,1
1001,soman,1
1109,toffee piece,1
290,corn starch,1
549,kiwi fruit,1
1104,tiger prawn,1
293,cornbread mix,1
294,corncob,1
0,achiote,1
